,Author,Mid,Date,Rating,timestamp,id_convert,user_convert
0,851222,tt1375666,20-Sep-10,10.0,1284912000,31,8
1,851222,tt0816692,9-Nov-14,10.0,1415462400,44,8
2,851222,tt1345836,16-Aug-15,10.0,1439654400,39,8
3,851222,tt1853728,10-Jan-15,9.0,1420819200,54,8
4,851222,tt0993846,10-Oct-14,9.0,1412870400,37,8
5,851222,tt1130884,20-Mar-10,8.0,1269014400,23,8
6,851222,tt2015381,18-Dec-14,10.0,1418832000,32,8
7,851222,tt7286456,3-Oct-19,10.0,1570032000,5,8
8,851222,tt1431045,7-Jun-16,9.0,1465228800,40,8
9,851222,tt1392190,15-May-15,10.0,1431619200,48,8
10,851222,tt2267998,5-Oct-14,9.0,1412438400,41,8
11,851222,tt2488496,23-Dec-15,9.0,1450800000,19,8
12,851222,tt4154756,18-Aug-18,8.0,1534521600,2,8
13,851222,tt4154796,25-Apr-19,9.0,1556121600,4,8
14,851222,tt1454468,19-Oct-13,10.0,1382112000,24,8
15,851222,tt3659388,2-Oct-15,10.0,1443715200,27,8
16,851222,tt1300854,14-Nov-18,8.0,1542124800,28,8
17,851222,tt2395427,12-Sep-15,7.0,1441987200,20,8
18,851222,tt0458339,25-Dec-18,9.0,1545667200,10,8
19,851222,tt1843866,9-Aug-14,8.0,1407513600,16,8
20,851222,tt1228705,13-Nov-18,6.0,1542038400,3,8
21,851222,tt2582802,7-Feb-15,10.0,1423238400,43,8
22,851222,tt1663202,10-Apr-16,9.0,1460217600,21,8
23,851222,tt2084970,18-Apr-15,9.0,1429286400,58,8
24,851222,tt3498820,5-Sep-16,10.0,1473004800,56,8
25,851222,tt1877832,11-Oct-14,8.0,1412956800,7,8
26,851222,tt3315342,3-Mar-17,10.0,1488470400,22,8
27,851222,tt2024544,1-Mar-14,9.0,1393603200,45,8
28,851222,tt1825683,5-Aug-18,9.0,1533398400,57,8
29,851222,tt2975590,9-Jul-16,10.0,1467993600,0,8
30,851222,tt2096673,1-Dec-15,10.0,1448899200,49,8
31,851222,tt1386697,4-Dec-16,5.0,1480780800,42,8
32,851222,tt1211837,19-Feb-17,9.0,1487433600,46,8
33,851222,tt1631867,5-Oct-14,10.0,1412438400,12,8
34,851222,tt2543164,14-Nov-16,10.0,1479052800,30,8
35,851222,tt3501632,29-Jan-18,9.0,1517155200,25,8
36,851222,tt2802144,1-Jun-15,9.0,1433088000,6,8
37,851222,tt0454876,17-Mar-13,10.0,1363449600,34,8
38,0w0,tt1375666,19-Jul-20,9.0,1595088000,31,667
39,0w0,tt0993846,27-Aug-19,9.0,1566835200,37,667
40,0w0,tt7286456,20-Dec-19,8.0,1576771200,5,667
41,0w0,tt1431045,18-Jul-20,8.0,1595001600,40,667
42,0w0,tt4154796,7-Oct-19,6.0,1570377600,4,667
43,0w0,tt2395427,19-Jul-20,7.0,1595088000,20,667
44,0w0,tt3315342,19-Jul-20,7.0,1595088000,22,667
45,0w0,tt1270798,5-Aug-20,7.0,1596556800,33,667
46,0w0,tt1074638,14-May-20,4.0,1589385600,8,667
47,0w0,tt1211837,18-Jul-20,7.0,1595001600,46,667
48,0w0,tt3501632,23-Jul-20,9.0,1595433600,25,667
49,3xHCCH,tt1375666,15-Jul-10,8.0,1279123200,31,18
50,3xHCCH,tt0816692,6-Nov-14,10.0,1415203200,44,18
51,3xHCCH,tt1345836,19-Jul-12,10.0,1342627200,39,18
52,3xHCCH,tt1853728,15-Jan-13,7.0,1358179200,54,18
53,3xHCCH,tt0848228,27-Apr-12,9.0,1335456000,52,18
54,3xHCCH,tt0993846,14-Jan-14,7.0,1389628800,37,18
55,3xHCCH,tt1130884,24-Feb-10,9.0,1266940800,23,18
56,3xHCCH,tt2015381,1-Aug-14,9.0,1406822400,32,18
57,3xHCCH,tt1392190,16-May-15,9.0,1431705600,48,18
58,3xHCCH,tt2267998,9-Oct-14,10.0,1412784000,41,18
59,3xHCCH,tt1392170,21-Mar-12,8.0,1332259200,35,18
60,3xHCCH,tt1454468,5-Oct-13,10.0,1380902400,24,18
61,3xHCCH,tt1201607,14-Jul-11,10.0,1310572800,38,18
62,3xHCCH,tt0435761,20-Jun-10,10.0,1276963200,11,18
63,3xHCCH,tt0903624,12-Dec-13,7.0,1386777600,59,18
64,3xHCCH,tt1300854,25-Apr-13,6.0,1366819200,28,18
65,3xHCCH,tt0800369,1-May-11,8.0,1304179200,1,18
66,3xHCCH,tt2395427,24-Apr-15,8.0,1429804800,20,18
67,3xHCCH,tt0458339,28-Jul-11,6.0,1311782400,10,18
68,3xHCCH,tt1843866,27-Mar-14,10.0,1395849600,16,18
69,3xHCCH,tt1228705,30-Apr-10,7.0,1272556800,3,18
70,3xHCCH,tt2582802,20-Oct-14,9.0,1413734400,43,18
71,3xHCCH,tt2278388,26-Apr-14,9.0,1398441600,9,18
72,3xHCCH,tt0947798,2-Jan-11,8.0,1293897600,15,18
73,3xHCCH,tt0770828,12-Jun-13,8.0,1370966400,18,18
74,3xHCCH,tt0892769,21-Mar-10,10.0,1269100800,51,18
75,3xHCCH,tt1045658,12-Jan-13,9.0,1357920000,50,18
76,3xHCCH,tt1877832,21-May-14,9.0,1400601600,7,18
77,3xHCCH,tt1270798,9-Jun-11,9.0,1307548800,33,18
78,3xHCCH,tt2024544,4-Jan-14,7.0,1388764800,45,18
79,3xHCCH,tt1504320,20-Jan-11,9.0,1295452800,53,18
80,3xHCCH,tt1074638,13-Nov-12,7.0,1352736000,8,18
81,3xHCCH,tt1285016,19-Oct-10,9.0,1287417600,17,18
82,3xHCCH,tt1951264,21-Nov-13,9.0,1384963200,13,18
83,3xHCCH,tt1392214,26-Sep-13,6.0,1380124800,29,18
84,3xHCCH,tt0816711,20-Jun-13,7.0,1371657600,47,18
85,3xHCCH,tt1170358,14-Dec-13,8.0,1386950400,55,18
86,3xHCCH,tt1631867,2-Jun-14,8.0,1401638400,12,18
87,3xHCCH,tt1981115,30-Oct-13,7.0,1383062400,26,18
88,3xHCCH,tt1670345,4-Jun-13,8.0,1370275200,14,18
89,3xHCCH,tt2802144,19-Feb-15,9.0,1424275200,6,18
90,3xHCCH,tt0454876,9-Jan-13,7.0,1357660800,34,18
91,A_Different_Drummer,tt0816692,23-Jan-15,10.0,1421942400,44,825
92,A_Different_Drummer,tt1345836,12-Jun-17,10.0,1497196800,39,825
93,A_Different_Drummer,tt1853728,4-Jan-14,3.0,1388764800,54,825
94,A_Different_Drummer,tt0848228,27-Jan-15,10.0,1422288000,52,825
95,A_Different_Drummer,tt1431045,8-Jan-21,9.0,1610035200,40,825
96,A_Different_Drummer,tt1392190,23-May-15,1.0,1432310400,48,825
97,A_Different_Drummer,tt2488496,31-Dec-15,9.0,1451491200,19,825
98,A_Different_Drummer,tt1454468,27-Jun-15,10.0,1435334400,24,825
99,A_Different_Drummer,tt3659388,6-Dec-15,6.0,1449331200,27,825
100,A_Different_Drummer,tt2395427,25-Apr-15,9.0,1429891200,20,825
101,A_Different_Drummer,tt1843866,23-Apr-14,10.0,1398182400,16,825
102,A_Different_Drummer,tt1663202,22-Dec-15,9.0,1450713600,21,825
103,A_Different_Drummer,tt0770828,21-Jun-13,2.0,1371744000,18,825
104,A_Different_Drummer,tt2084970,14-Jan-15,9.0,1421164800,58,825
105,A_Different_Drummer,tt3498820,9-May-16,7.0,1462723200,56,825
106,A_Different_Drummer,tt1074638,11-Sep-13,7.0,1378828800,8,825
107,A_Different_Drummer,tt2975590,30-Mar-16,7.0,1459267200,0,825
108,A_Different_Drummer,tt1392214,19-Oct-13,3.0,1382112000,29,825
109,A_Different_Drummer,tt0816711,8-Jul-13,1.0,1373212800,47,825
110,A_Different_Drummer,tt1170358,26-Dec-13,10.0,1387987200,55,825
111,A_Different_Drummer,tt1631867,16-Mar-15,10.0,1426435200,12,825
112,A_Different_Drummer,tt1981115,6-Dec-13,2.0,1386259200,26,825
113,A_Different_Drummer,tt2543164,19-Nov-16,10.0,1479484800,30,825
114,A_Different_Drummer,tt2802144,7-Aug-15,9.0,1438876800,6,825
115,a-07779-75123,tt0816692,5-Aug-20,8.0,1596556800,44,395
116,a-07779-75123,tt0993846,6-Aug-20,8.0,1596643200,37,395
117,a-07779-75123,tt1130884,1-Sep-20,8.0,1598889600,23,395
118,a-07779-75123,tt1392190,12-Aug-20,8.0,1597161600,48,395
119,a-07779-75123,tt2267998,15-Aug-20,8.0,1597420800,41,395
120,a-07779-75123,tt2278388,27-Aug-20,9.0,1598457600,9,395
121,a-07779-75123,tt1663202,19-Aug-20,8.0,1597766400,21,395
122,a-07779-75123,tt0892769,25-Aug-20,8.0,1598284800,51,395
123,a-07779-75123,tt3315342,26-Aug-20,8.0,1598371200,22,395
124,a-07779-75123,tt2096673,31-Aug-20,8.0,1598803200,49,395
125,a-07779-75123,tt1392214,25-Aug-20,8.0,1598284800,29,395
126,Aaron1375,tt1345836,24-Jul-12,10.0,1343059200,39,267
127,Aaron1375,tt0848228,14-May-12,10.0,1336924800,52,267
128,Aaron1375,tt2015381,25-Sep-14,10.0,1411574400,32,267
129,Aaron1375,tt1431045,21-Feb-16,9.0,1455984000,40,267
130,Aaron1375,tt1392190,17-May-15,10.0,1431792000,48,267
131,Aaron1375,tt2488496,29-Dec-15,8.0,1451318400,19,267
132,Aaron1375,tt4154756,2-Jul-18,10.0,1530460800,2,267
133,Aaron1375,tt4154796,9-May-19,9.0,1557331200,4,267
134,Aaron1375,tt1300854,20-May-13,8.0,1368979200,28,267
135,Aaron1375,tt0800369,9-May-11,8.0,1304870400,1,267
136,Aaron1375,tt2395427,4-May-15,8.0,1430668800,20,267
137,Aaron1375,tt0458339,21-Aug-17,8.0,1503244800,10,267
138,Aaron1375,tt1843866,16-Apr-14,9.0,1397577600,16,267
139,Aaron1375,tt1228705,13-May-10,9.0,1273680000,3,267
140,Aaron1375,tt0770828,9-Jul-13,9.0,1373299200,18,267
141,Aaron1375,tt3498820,9-May-16,9.0,1462723200,56,267
142,Aaron1375,tt1877832,9-Jun-14,9.0,1402243200,7,267
143,Aaron1375,tt3315342,27-Jun-17,9.0,1498492800,22,267
144,Aaron1375,tt1270798,6-Jun-11,9.0,1307289600,33,267
145,Aaron1375,tt1074638,15-Dec-12,10.0,1355500800,8,267
146,Aaron1375,tt1825683,8-Apr-18,8.0,1523116800,57,267
147,Aaron1375,tt2975590,28-Mar-16,8.0,1459094400,0,267
148,Aaron1375,tt1386697,8-Aug-16,9.0,1470585600,42,267
149,Aaron1375,tt0816711,12-Jul-13,8.0,1373558400,47,267
150,Aaron1375,tt1211837,9-Jul-17,9.0,1499529600,46,267
151,Aaron1375,tt1981115,31-Dec-13,9.0,1388419200,26,267
152,Aaron1375,tt3501632,7-Nov-17,10.0,1509984000,25,267
153,aaronjbong,tt1375666,16-Jul-10,10.0,1279209600,31,392
154,aaronjbong,tt0816692,9-Nov-14,9.0,1415462400,44,392
155,aaronjbong,tt1345836,21-Jul-12,10.0,1342800000,39,392
156,aaronjbong,tt0848228,6-May-12,9.0,1336233600,52,392
157,aaronjbong,tt7286456,8-Oct-19,9.0,1570464000,5,392
158,aaronjbong,tt1392170,22-Mar-12,9.0,1332345600,35,392
159,aaronjbong,tt0435761,17-Jun-10,10.0,1276704000,11,392
160,aaronjbong,tt2395427,22-Apr-15,9.0,1429632000,20,392
161,aaronjbong,tt1228705,1-May-10,8.0,1272643200,3,392
162,aaronjbong,tt0770828,28-Jun-13,9.0,1372348800,18,392
163,aaronjbong,tt1270798,24-Jun-11,10.0,1308844800,33,392
